"","x"
"1",136
"2",74
"3",8
"4",38
"5",46
"6",43
"7",9
"8",9
"9",12
"10",11
"11",20
"12",9
"13",95
"14",34
"15",7
"16",14
"17",39
"18",12
"19",29
"20",21
"21",60
"22",35
"23",17
"24",36
"25",29
"26",162
"27",88
"28",31
"29",6
"30",135
"31",13
"32",20
"33",9
"34",14
"35",28
"36",42
"37",10
"38",35
"39",2
"40",16
"41",28
"42",42
"43",142
"44",33
"45",134
"46",23
"47",34
"48",16
"49",13
"50",167
"51",9
"52",22
"53",39
"54",28
"55",30
"56",22
"57",14
"58",9
"59",25
"60",106
"61",32
"62",30
"63",89
"64",89
"65",47
"66",17
"67",26
"68",1231
"69",6
"70",103
"71",48
"72",24
"73",11
"74",19
"75",13
"76",29
"77",20
"78",45
"79",3
"80",33
"81",41
"82",7
"83",11
"84",10
"85",22
"86",36
"87",7
"88",19
"89",41
"90",40
"91",10
"92",15
"93",93
"94",67
"95",29
"96",25
"97",91
"98",38
"99",2510
"100",5
"101",32
"102",65
"103",0
"104",13
"105",27
"106",16
"107",21
"108",6
"109",0
"110",28
"111",8
"112",13
"113",71
"114",36
"115",11
"116",106
"117",37
"118",41
"119",13
"120",900
"121",38
"122",24
"123",15
"124",27
"125",12
"126",12
"127",22
"128",40
"129",49
"130",22
"131",118
"132",48
"133",10
"134",1
"135",36
"136",155
"137",9
"138",34
"139",29
"140",12
"141",0
"142",28
"143",21
"144",32
"145",18
"146",52
"147",29
"148",13
"149",199
"150",40
"151",11
"152",51
"153",45
"154",43
"155",31
"156",5
"157",18
"158",15
"159",25
"160",9
"161",18
"162",13
"163",58
"164",22
"165",40
"166",34
"167",16
"168",31
"169",27
"170",15
"171",23
"172",49
"173",60
"174",28
"175",74
"176",42
"177",24
"178",17
"179",9
"180",61
"181",20
"182",23
"183",26
"184",31
"185",167
"186",19
"187",14
"188",13
"189",146
"190",283
"191",12
"192",53
"193",26
"194",16
"195",29
"196",51
"197",15
"198",22
"199",27
