"","prev","grade"
"1"," B+ "," B+ "
"2"," A- "," A- "
"3"," B+ "," A- "
"4"," F  "," F  "
"5"," F  "," F  "
"6"," A  "," B  "
"7"," A  "," A  "
"8"," C  "," D  "
"9"," A  "," A  "
"10"," C  "," D  "
"11"," C  "," C  "
"12"," B  "," F  "
"13"," A- "," A  "
"14"," B  "," B  "
"15"," C+ "," A- "
"16"," A  "," B+ "
"17"," C  "," F  "
"18"," A  "," A- "
"19"," C  "," C  "
"20"," C  "," B- "
"21"," F  "," C+ "
"22"," F  "," F  "
"23"," C  "," D  "
"24"," A- "," A  "
"25"," A  "," A  "
"26"," A  "," A  "
"27"," A  "," C  "
"28"," C  "," C  "
"29"," C+ "," A  "
"30"," B+ "," B  "
"31"," B+ "," A- "
"32"," B  "," B- "
"33"," A  "," A  "
"34"," C  "," D  "
"35"," A  "," A  "
"36"," C  "," B  "
"37"," C  "," C+ "
"38"," A  "," B  "
"39"," B  "," B  "
"40"," F  "," D  "
"41"," B  "," B- "
"42"," D  "," F  "
"43"," B+ "," B- "
"44"," C  "," D  "
"45"," C  "," C+ "
"46"," B+ "," B+ "
"47"," A  "," D  "
"48"," A- "," B+ "
"49"," A- "," A  "
"50"," B- "," B  "
"51"," C  "," D  "
"52"," A  "," B  "
"53"," F  "," B  "
"54"," A  "," A  "
"55"," B  "," C  "
"56"," F  "," F  "
"57"," C  "," F  "
"58"," F  "," C  "
"59"," F  "," D  "
"60"," C+ "," C  "
"61"," D  "," D  "
"62"," D  "," B  "
"63"," F  "," B- "
"64"," B  "," C+ "
"65"," D  "," C  "
"66"," C  "," F  "
"67"," B- "," B  "
"68"," B  "," B  "
"69"," B  "," F  "
"70"," A  "," A  "
"71"," A  "," A  "
"72"," C  "," D  "
"73"," C  "," F  "
"74"," F  "," F  "
"75"," C  "," C  "
"76"," A  "," C  "
"77"," A  "," B  "
"78"," C  "," C  "
"79"," B  "," A- "
"80"," F  "," A  "
"81"," A  "," D  "
"82"," D  "," D  "
"83"," C  "," F  "
"84"," A  "," A  "
"85"," D  "," C  "
"86"," B+ "," D  "
"87"," A  "," A  "
"88"," F  "," F  "
"89"," B  "," B+ "
"90"," C  "," D  "
"91"," B+ "," F  "
"92"," A  "," A  "
"93"," A  "," A  "
"94"," C  "," C+ "
"95"," F  "," C  "
"96"," B- "," A- "
"97"," A  "," A  "
"98"," F  "," F  "
"99"," C  "," F  "
"100"," F  "," F  "
"101"," C  "," F  "
"102"," A  "," C  "
"103"," C  "," A  "
"104"," F  "," F  "
"105"," D  "," C  "
"106"," D  "," C  "
"107"," D  "," D  "
"108"," B  "," B- "
"109"," C  "," D  "
"110"," B- "," C  "
"111"," F  "," D  "
"112"," B  "," C  "
"113"," B+ "," B- "
"114"," A  "," A- "
"115"," F  "," F  "
"116"," F  "," C  "
"117"," B  "," C  "
"118"," F  "," F  "
"119"," F  "," D  "
"120"," A  "," A- "
"121"," A  "," A  "
"122"," B  "," B  "
